level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
129,7,10,PRT,SVR_RBF,,0.2830682433769991,0.2830682433769991,0.08012763040854,0.9233433238837272,0.07049831002086088,0.07762382441020851,0.0060254581160668836,2020,0,0,log transform,3,Portugal,Europe,1. 0 to <100
156,7,11,SUR,SVR_RBF,,0.02070486690064044,0.02070486690064044,0.00042869151337323604,0.9817206101770828,0.06710107308438645,0.07216389472053436,0.005207627701236368,2020,0,0,log transform,4,Suriname,South America,1. 0 to <100
132,20,24,KOR,SVR_RBF,,0.31453347445344804,0.31453347445344804,0.09893130655175784,0.9896923358873961,0.07486255340765725,0.0857435204327482,0.0073519512962011094,2020,0,0,log transform,4,"Korea, Republic of",Asia,1. 0 to <100
104,7,11,MUS,SVR_RBF,,0.8092115827557773,0.8092115827557773,0.6548233856661102,0.9854346362501988,0.05062622935225342,0.05887408233249906,0.003466157570493878,2020,0,0,log transform,4,Mauritius,Africa,1. 0 to <100
16,3,9,BLZ,SVR_RBF,,0.9458475539882794,0.9458475539882794,0.894627595385611,0.9287724789945105,0.07194456457793853,0.08919955630121511,0.007956560844333643,2020,0,0,log transform,6,Belize,North America,1. 0 to <100
148,20,26,SLB,Bayesian_ARD,,0.11976645169971789,0.11976645169971789,0.014344002952740858,0.8767393051997721,0.03811566066145245,0.04467451385719988,0.0019958121883771438,2020,0,0,log transform,6,Solomon Islands,Oceania,1. 0 to <100
72,7,14,HUN,SVR_RBF,,0.3004354615836431,0.3004354615836431,0.09026146657697669,0.9584841543978895,0.060890506211087346,0.06730505776012308,0.004529970800093503,2020,0,0,log transform,7,Hungary,Europe,1. 0 to <100
71,148,155,HND,SVR_RBF,,0.30802438610441474,0.30802438610441474,0.09487902243500157,0.9718945938452074,0.04533232410399918,0.05443213887836068,0.0029628577428731447,2020,0,0,log transform,7,Honduras,North America,1. 0 to <100
121,7,15,OMN,SVR_RBF,,0.24081996597901822,0.24081996597901822,0.05799425601413549,0.8777995303364102,0.04768003956231005,0.05750309798172422,0.003306606277495776,2020,0,0,log transform,8,Oman,Asia,1. 0 to <100
107,20,29,MNG,SVR_RBF,,0.12413593753055041,0.12413593753055041,0.015409730986588713,0.9867229013761077,0.0587237266283641,0.06592125460400879,0.004345611808566549,2020,0,0,log transform,9,Mongolia,Asia,1. 0 to <100
175,55,67,GBR,SVR_RBF,,0.06399055365289197,0.06399055365289197,0.004094790956803646,0.3357443236060722,0.05551643643708908,0.0628865911458508,0.003954723345945399,2020,0,0,log transform,12,United Kingdom,Europe,1. 0 to <100
